"Collision indicies for all agents. Each row represnets an agent's collision indicies. Every num_agents rows correspond to an iteration. The latter are synchronized with the timestamp. The format becomes: row1: colIdx(agent1 @ t=1), row2: colIdx(agent2 @ t=1), ... row_num_agents: colIdx(agent_num_agents @ t=1), row_(num_agents+1): colIdx(agent1 @ t=2), row_(num_agents+1): colIdx(agent2 @ t=2), ... row_(2*num_agents): colIdx(agent_num_agents @ t=1) ..."




3
4
3,4





3
4
3,4





3
4
3,4





3
4
3,4





3
4
3,4





3
4
3,4





3
4
3,4


5


3
1,4
3,4


5


3
1,4
3,4


5


3
1,4
3,4


5


3
1,4
3,4


5


3
1,4
3,4


5


3
1,4
3,4


5


3
1,4
3,4

1
5


3
1,4
3,4

5
4


3
1
3,4

5
4


3
1
3,4

5
4


3
1
3,4

5
4


3
1
3,4

5
4


3
1
3,4

5
4


3
1
3,4

5
4


3
0,1
3,4

5
4


3
0,1
3,4

5
4


3
0,1
3,4

5
4


3
0,1
3,4

5
4


3
0,1
3,4

5
4


3
0,1
3,4

5
4


3,6
0,1
3,4

3
6


3,6
0,1
3,4

3
6


3,6
0,1
3,4

5
4
3
2
3,6
0,1
3,4

3
6
3
2
3,6
0,1
3,4

3
6
3
2
3,6
0,1
3,4

3
6
3
2
3,6
0,1
3,4

3
6
3
2
3,6
0,1
3,4

3
6
3
2
3,6
0,1
3,4

3
6
3
2
3,6
0,1
3,4

3
6
3
2
3,6
0,1
3,4

3
6
3
2
3,6
0,1
3,4
4
5
4
3
0,2
3,6
0,1
3,4
6
3
6
3
2
3,6
0,1
3,4
4
5
4
3
0,2
3,6
0,1
3,4
6
3
6
3
2
3,6
0,1
3,4
4
5
4
3
0,2
3
0,1
3,4
6
5
4
3
0,2
3
0,1
3,4
6
5
4
3
0,2
3
0,1
3,4
6
5
4
3
0,2
3
0,1
3,4
6
5
4
3
0,2
3
0,1
3,4
6
5
4
3
0,2
3
0,1
3,4
3,6
5
4
3
0,2
3
0,1
3,4
3,6
5
4
3
0,2
3
0,1
3,4
3,6
5
4
3
0,2
3,6
0,1
3,4
3,6
3
6
3
2
3,6,7
0,1
3,4
3,4
5
4
3
0,2
1,6
0,1
3,4
3,6
3



3,6
0,1
1,4
3,4
5
3,4

0
1
0,1
3,7
3,6
1,5
4,6
3
0,1
1
0
1,3,7
3,6
5
4
3
0,2
0,3
0
3,4,7
6
5
4
3
0,2
0,3
0
4,7
6
5
4,6
3
0,2
0,3
0
1,4,7
3,6
3,5
3,4,6
3
0,2
3
0,4
1,4
1,3
3,4
4,6
0
0
0
3,4
0,1,4,7
0,6
5,6
0,4,6
4
4
0,3
0,3
0,1
1,4
6
0,4,6
4
4,6
3,6
3
1,4
1,4
1
0,6
4
4
1,3
3
1,7
4
5,6
6
4
4
3,6
0
1,4
1,4
5
4
6
6
5,6
0,4
4,7
1,6
4
7
6,7
6
0,3,5
0,1
5,7
1,2,6
4
6
6,7

0,3,5
0,1
1,7
