Timestamps for data. Row number here corresponds to the row of the same number in the other data files
1541003533.252225
1541003533.40599
1541003533.549545
1541003533.681913
1541003533.804426
1541003533.952476
1541003534.111015
1541003534.267855
1541003534.411101
1541003534.588432
1541003534.739058
1541003534.884302
1541003535.052057
1541003535.207704
1541003535.342307
1541003535.492173
1541003535.654517
1541003535.804853
1541003535.958314
1541003536.13412
1541003536.291131
1541003536.435167
1541003536.592252
1541003536.753488
1541003536.916639
1541003537.073263
1541003537.209846
1541003537.35545
1541003537.509031
1541003537.671608
1541003537.823749
1541003537.985403
1541003538.159945
1541003538.319294
1541003538.471547
1541003538.625452
1541003538.786963
1541003538.948971
1541003539.117828
1541003539.285646
1541003539.444521
1541003539.5996
1541003539.748387
1541003539.914608
1541003540.073742
1541003540.240274
1541003540.40221
1541003540.554469
1541003540.713221
1541003540.864896
1541003541.027894
1541003541.182564
1541003541.336487
1541003541.495193
1541003541.664182
1541003541.822015
1541003541.975097
1541003542.135188
1541003542.290296
1541003542.44579
1541003542.606983
1541003542.756406
1541003542.921658
1541003543.065206
1541003543.221551
1541003543.362056
1541003543.50589
1541003543.662882
1541003543.817976
1541003543.983375
1541003544.138327
1541003544.282251
1541003544.433758
1541003544.585949
1541003544.751282
1541003544.905492
1541003545.045305
1541003545.227594
1541003545.385144
1541003545.525831
1541003545.691654
1541003545.845847
1541003545.988252
1541003546.140559
1541003546.297901
1541003546.441964
1541003546.615108
1541003546.764637
1541003546.910684
1541003547.070023
1541003547.236393
1541003547.381074
1541003547.529397
1541003547.680377
1541003547.834132
1541003547.984288
1541003548.129392
1541003548.281144
1541003548.423418
1541003548.558889
1541003548.683924
1541003548.841519
1541003548.995428
1541003549.164422
1541003549.3134
1541003549.468589
1541003549.618405
1541003549.765407
1541003549.920242
1541003550.082836
1541003550.243653
1541003550.402902
1541003550.554924
1541003550.709558
1541003550.860259
1541003551.006163
1541003551.159277
1541003551.303876
1541003551.453415
1541003551.599148
1541003551.762763
1541003551.912891
1541003552.0597
1541003552.21582
1541003552.381393
1541003552.525936
1541003552.683247
1541003552.830918
1541003552.982759
1541003553.138534
1541003553.257735
1541003553.411473
1541003553.565296
1541003553.723166
1541003553.865061
1541003554.012644
1541003554.164343
1541003554.325306
1541003554.48228
1541003554.633935
1541003554.789825
1541003554.942784
1541003555.073611
1541003555.210874
1541003555.362009
1541003555.512711
1541003555.676068
1541003555.821339
1541003555.980258
1541003556.130034
1541003556.286322
1541003556.4361
1541003556.579665
1541003556.735528
1541003556.887442
1541003557.039367
1541003557.189149
1541003557.33744
1541003557.50887
1541003557.662431
1541003557.810662
1541003557.969397
1541003558.127373
1541003558.292208
1541003558.451531
1541003558.589214
1541003558.743808
1541003558.899228
1541003559.044957
1541003559.206272
1541003559.364862
1541003559.523032
1541003559.685236
1541003559.83605
1541003559.996606
1541003560.154084
1541003560.303166
1541003560.449461
1541003560.613514
1541003560.767814
1541003560.915969
1541003561.07599
1541003561.23458
1541003561.387426
1541003561.55098
1541003561.707042
1541003561.851617
1541003562.022135
1541003562.175269
1541003562.338996
1541003562.481719
1541003562.636185
1541003562.791288
1541003562.941251
1541003563.085308
1541003563.237313
1541003563.366887
1541003563.520813
1541003563.672992
1541003563.833408
1541003563.993885
1541003564.141668
1541003564.30632
1541003564.448251
1541003564.592588
1541003564.731704
1541003564.876189
1541003565.027697
1541003565.183803
1541003565.326314
1541003565.484175
1541003565.643098
